grid,m,dt,seed,epoch,gamma,sV
knee,20,5,123,94,11.0,0.0
knee,20,5,123,95,11.0,0.0
knee,20,5,123,96,11.0,2.0
knee,20,5,123,97,11.0,0.0
knee,20,5,123,98,11.0,2.0
knee,20,5,123,99,11.0,1.0
knee,20,5,123,100,11.0,11.0
knee,20,5,124,50,9.0,1.0
knee,20,5,124,51,9.0,0.0
knee,20,5,124,52,9.0,0.0
knee,20,5,124,53,9.0,9.0
knee,20,5,124,54,9.0,9.0
knee,20,5,124,55,9.0,4.0
knee,20,5,124,56,9.0,0.0
knee,20,5,124,57,9.0,2.0
knee,20,5,124,58,9.0,1.0
knee,20,5,124,59,9.0,0.0
knee,20,5,124,60,9.0,0.0
knee,20,5,124,61,9.0,0.0
knee,20,5,124,62,9.0,0.0
knee,20,5,124,63,9.0,0.0
knee,20,5,124,64,9.0,0.0
knee,20,5,124,65,9.0,1.0
knee,20,5,124,66,9.0,4.0
knee,20,5,124,67,9.0,4.0
knee,20,5,124,68,9.0,5.0
knee,20,5,124,69,9.0,4.0
knee,20,5,124,70,9.0,2.0
knee,20,5,124,71,9.0,4.0
knee,20,5,124,72,9.0,1.0
knee,20,5,124,73,9.0,3.0
knee,20,5,124,74,9.0,2.0
knee,20,5,124,75,9.0,0.0
knee,20,5,124,76,9.0,1.0
knee,20,5,124,77,9.0,2.0
knee,20,5,124,78,9.0,3.0
knee,20,5,124,79,9.0,4.0
knee,20,5,124,80,9.0,0.0
knee,20,5,124,81,9.0,0.0
knee,20,5,124,82,9.0,2.0
knee,20,5,124,83,9.0,2.0
knee,20,5,124,84,9.0,9.0
knee,20,5,124,85,9.0,1.0
knee,20,5,124,86,9.0,5.0
knee,20,5,124,87,9.0,5.0
knee,20,5,124,88,9.0,1.0
knee,20,5,124,89,9.0,6.0
knee,20,5,124,90,9.0,1.0
knee,20,5,124,91,9.0,5.0
knee,20,5,124,92,9.0,3.0
knee,20,5,124,93,9.0,1.0
knee,20,5,124,94,9.0,5.0
knee,20,5,124,95,9.0,1.0
knee,20,5,124,96,9.0,1.0
knee,20,5,124,97,9.0,0.0
knee,20,5,124,98,9.0,1.0
knee,20,5,124,99,9.0,5.0
knee,20,5,124,100,9.0,4.0
knee,20,5,125,50,3.0,1.0
knee,20,5,125,51,3.0,0.0
knee,20,5,125,52,3.0,0.0
knee,20,5,125,53,3.0,3.0
knee,20,5,125,54,3.0,3.0
knee,20,5,125,55,3.0,1.0
knee,20,5,125,56,3.0,1.0
knee,20,5,125,57,3.0,1.0
knee,20,5,125,58,3.0,1.0
knee,20,5,125,59,3.0,2.0
knee,20,5,125,60,3.0,1.0
knee,20,5,125,61,3.0,0.0
knee,20,5,125,62,3.0,0.0
knee,20,5,125,63,3.0,0.0
knee,20,5,125,64,3.0,1.0
knee,20,5,125,65,3.0,0.0
knee,20,5,125,66,3.0,0.0
knee,20,5,125,67,3.0,0.0
knee,20,5,125,68,3.0,1.0
knee,20,5,125,69,3.0,0.0
knee,20,5,125,70,3.0,1.0
knee,20,5,125,71,3.0,0.0
knee,20,5,125,72,3.0,1.0
knee,20,5,125,73,3.0,0.0
knee,20,5,125,74,3.0,0.0
knee,20,5,125,75,3.0,0.0
knee,20,5,125,76,3.0,1.0
knee,20,5,125,77,3.0,0.0
knee,20,5,125,78,3.0,1.0
knee,20,5,125,79,3.0,1.0
knee,20,5,125,80,3.0,0.0
knee,20,5,125,81,3.0,0.0
knee,20,5,125,82,3.0,0.0
knee,20,5,125,83,3.0,0.0
knee,20,5,125,84,3.0,1.0
knee,20,5,125,85,3.0,0.0
knee,20,5,125,86,3.0,0.0
knee,20,5,125,87,3.0,0.0
knee,20,5,125,88,3.0,1.0
knee,20,5,125,89,3.0,0.0
knee,20,5,125,90,3.0,0.0
knee,20,5,125,91,3.0,1.0
knee,20,5,125,92,3.0,0.0
knee,20,5,125,93,3.0,0.0
knee,20,5,125,94,3.0,0.0
