arm,mbar,dt,seed,epoch,tag_pop,pop_trig,n_tagged,removed,gamma
chronic,16,0,144,95,943,1095,182,182,26.0
chronic,16,0,144,99,925,1097,182,182,26.0
chronic,16,0,145,51,25,27,4,4,16.0
chronic,16,0,145,57,211,239,40,40,19.0
chronic,16,0,145,60,241,279,46,46,21.0
chronic,16,0,145,72,639,711,118,118,24.0
chronic,16,0,145,74,611,705,118,118,25.0
chronic,16,0,145,87,1049,1147,192,192,27.0
chronic,16,0,145,90,1009,1177,196,196,30.0
chronic,16,0,146,58,287,311,52,52,24.0
chronic,16,0,146,66,525,575,96,96,23.0
chronic,16,0,146,68,521,589,98,98,23.0
chronic,16,0,146,77,841,907,152,152,25.0
chronic,16,0,146,79,787,907,152,152,25.0
chronic,16,0,147,51,23,27,4,4,14.0
chronic,16,0,147,53,75,91,16,16,17.0
chronic,16,0,147,55,97,105,18,18,14.0
chronic,16,0,147,56,109,115,20,20,14.0
chronic,16,0,147,58,113,131,22,22,16.0
chronic,16,0,147,60,127,147,24,24,18.0
chronic,16,0,147,63,171,191,32,32,19.0
chronic,16,0,147,65,183,205,34,34,19.0
chronic,16,0,147,67,191,221,36,36,19.0
chronic,16,0,147,71,249,291,48,48,19.0
chronic,16,0,147,75,321,357,60,60,19.0
chronic,16,0,147,77,323,357,60,60,22.0
chronic,16,0,147,79,307,355,60,60,22.0
chronic,16,0,147,82,303,359,60,60,21.0
chronic,16,0,147,95,661,743,124,124,21.0
chronic,16,0,147,97,603,689,114,114,21.0
chronic,16,0,147,99,539,631,106,106,22.0
chronic,16,0,148,51,23,27,4,4,14.0
chronic,16,0,148,52,45,53,8,8,15.0
chronic,16,0,148,54,83,87,14,14,14.0
chronic,16,0,148,55,87,97,16,16,15.0
chronic,16,0,148,56,85,97,16,16,14.0
chronic,16,0,148,57,79,95,16,16,14.0
chronic,16,0,148,59,89,107,18,18,14.0
chronic,16,0,148,61,111,123,20,20,14.0
chronic,16,0,148,62,101,117,20,20,15.0
chronic,16,0,148,64,103,119,20,20,15.0
chronic,16,0,148,65,95,113,18,18,15.0
chronic,16,0,148,67,99,117,20,20,15.0
chronic,16,0,148,68,91,109,18,18,14.0
chronic,16,0,148,70,105,127,22,22,14.0
chronic,16,0,148,71,105,115,20,20,14.0
chronic,16,0,148,72,99,113,18,18,14.0
chronic,16,0,148,73,87,105,18,18,14.0
chronic,16,0,148,75,91,107,18,18,14.0
chronic,16,0,148,76,81,93,16,16,14.0
chronic,16,0,148,78,95,115,20,20,21.0
chronic,16,0,148,85,261,301,50,50,21.0
chronic,16,0,148,86,245,267,44,44,16.0
chronic,16,0,148,88,229,267,44,44,16.0
chronic,16,0,148,90,213,249,42,42,18.0
chronic,16,0,148,92,203,235,40,40,18.0
chronic,16,0,148,94,199,235,40,40,18.0
chronic,16,0,149,50,7,9,2,2,9.0
chronic,16,0,149,51,17,21,4,4,9.0
chronic,16,0,149,52,29,35,6,6,9.0
chronic,16,0,149,53,39,47,8,8,9.0
chronic,16,0,149,54,37,45,8,8,9.0
chronic,16,0,149,55,41,49,8,8,9.0
chronic,16,0,149,56,53,59,10,10,10.0
chronic,16,0,149,57,61,73,12,12,12.0
chronic,16,0,149,58,73,79,14,14,12.0
chronic,16,0,149,59,85,99,16,16,13.0
chronic,16,0,149,61,115,131,22,22,13.0
chronic,16,0,149,63,141,153,26,26,13.0
