arm,mbar,dt,seed,epoch,tag_pop,n_tagged,removed,gamma
chronic,26,0,142,78,67,14,14,14.0
chronic,26,0,142,79,67,14,14,14.0
chronic,26,0,142,80,71,14,14,14.0
chronic,26,0,142,81,75,14,14,14.0
chronic,26,0,142,82,77,14,14,14.0
chronic,26,0,142,83,75,14,14,14.0
chronic,26,0,142,84,75,14,14,14.0
chronic,26,0,142,85,79,16,16,14.0
chronic,26,0,142,86,79,16,16,14.0
chronic,26,0,142,87,79,16,16,16.0
chronic,26,0,142,88,85,16,16,16.0
chronic,26,0,142,89,89,16,16,14.0
chronic,26,0,142,90,91,18,18,14.0
chronic,26,0,142,91,95,18,18,14.0
chronic,26,0,142,92,89,18,18,14.0
chronic,26,0,142,93,89,18,18,14.0
chronic,26,0,142,94,83,16,16,14.0
chronic,26,0,142,95,79,16,16,14.0
chronic,26,0,142,96,83,16,16,14.0
chronic,26,0,142,97,89,16,16,14.0
chronic,26,0,142,98,93,18,18,14.0
chronic,26,0,142,99,91,18,18,16.0
chronic,26,0,142,100,93,18,18,16.0
chronic,26,0,143,50,7,2,2,6.0
chronic,26,0,143,51,9,2,2,6.0
chronic,26,0,143,52,15,2,2,6.0
chronic,26,0,143,53,19,4,4,5.0
chronic,26,0,143,54,25,4,4,5.0
chronic,26,0,143,55,27,4,4,5.0
chronic,26,0,143,56,31,6,6,5.0
chronic,26,0,143,57,35,6,6,5.0
chronic,26,0,143,58,39,8,8,5.0
chronic,26,0,143,59,43,8,8,5.0
chronic,26,0,143,60,45,8,8,5.0
chronic,26,0,143,61,45,10,10,5.0
chronic,26,0,143,62,45,8,8,5.0
chronic,26,0,143,63,45,10,10,5.0
chronic,26,0,143,64,45,10,10,5.0
chronic,26,0,143,65,47,10,10,5.0
chronic,26,0,143,66,45,10,10,5.0
chronic,26,0,143,67,47,10,10,5.0
chronic,26,0,143,68,47,10,10,5.0
chronic,26,0,143,69,51,10,10,5.0
chronic,26,0,143,70,49,10,10,5.0
chronic,26,0,143,71,49,10,10,5.0
chronic,26,0,143,72,47,10,10,5.0
chronic,26,0,143,73,51,10,10,8.0
chronic,26,0,143,74,59,10,10,8.0
chronic,26,0,143,75,61,12,12,8.0
chronic,26,0,143,76,69,14,14,12.0
chronic,26,0,143,77,73,14,14,12.0
chronic,26,0,143,78,81,16,16,11.0
chronic,26,0,143,79,85,16,16,11.0
chronic,26,0,143,80,89,18,18,11.0
chronic,26,0,143,81,91,18,18,11.0
chronic,26,0,143,82,91,18,18,11.0
chronic,26,0,143,83,99,18,18,11.0
chronic,26,0,143,84,103,20,20,11.0
chronic,26,0,143,85,109,20,20,11.0
chronic,26,0,143,86,109,22,22,11.0
chronic,26,0,143,87,113,22,22,11.0
chronic,26,0,143,88,111,22,22,11.0
chronic,26,0,143,89,107,22,22,11.0
chronic,26,0,143,90,107,22,22,11.0
chronic,26,0,143,91,109,22,22,11.0
chronic,26,0,143,92,109,22,22,11.0
chronic,26,0,143,93,111,22,22,11.0
chronic,26,0,143,94,109,22,22,11.0
chronic,26,0,143,95,109,22,22,11.0
chronic,26,0,143,96,111,22,22,11.0
chronic,26,0,143,97,111,22,22,11.0
chronic,26,0,143,98,109,22,22,11.0
chronic,26,0,143,99,109,22,22,11.0
chronic,26,0,143,100,109,22,22,11.0
chronic,26,0,144,50,7,2,2,23.0
chronic,26,0,144,51,17,4,4,22.0
chronic,26,0,144,52,35,6,6,20.0
chronic,26,0,144,53,53,10,10,20.0
chronic,26,0,144,54,77,16,16,21.0
chronic,26,0,144,55,97,18,18,22.0
chronic,26,0,144,56,123,22,22,22.0
chronic,26,0,144,58,167,34,34,21.0
chronic,26,0,144,60,203,38,38,21.0
chronic,26,0,144,62,223,44,44,21.0
chronic,26,0,144,64,249,50,50,22.0
chronic,26,0,144,67,307,62,62,21.0
chronic,26,0,144,70,371,72,72,22.0
chronic,26,0,144,73,433,82,82,22.0
chronic,26,0,144,75,461,84,84,22.0
chronic,26,0,144,77,439,86,86,23.0
chronic,26,0,144,79,423,84,84,22.0
chronic,26,0,144,81,411,82,82,22.0
chronic,26,0,144,85,501,98,98,23.0
chronic,26,0,144,87,499,96,96,23.0
chronic,26,0,144,88,461,88,88,23.0
chronic,26,0,144,90,431,84,84,23.0
chronic,26,0,144,92,427,82,82,23.0
chronic,26,0,145,50,7,2,2,17.0
chronic,26,0,145,51,19,4,4,20.0
chronic,26,0,145,52,51,10,10,19.0
chronic,26,0,145,53,75,14,14,19.0
chronic,26,0,145,54,97,18,18,19.0
chronic,26,0,145,55,115,22,22,19.0
chronic,26,0,145,57,159,32,32,19.0
chronic,26,0,145,58,161,30,30,19.0
chronic,26,0,145,60,187,36,36,27.0
chronic,26,0,145,72,739,140,140,34.0
chronic,26,0,145,74,731,138,138,34.0
chronic,26,0,145,84,1227,226,226,39.0
chronic,26,0,145,86,1155,210,210,40.0
chronic,26,0,145,88,1077,194,194,34.0
chronic,26,0,146,50,7,2,2,20.0
chronic,26,0,146,51,17,4,4,20.0
chronic,26,0,146,52,43,8,8,27.0
chronic,26,0,146,53,67,14,14,19.0
chronic,26,0,146,54,89,18,18,19.0
chronic,26,0,146,55,109,22,22,20.0
chronic,26,0,146,56,127,24,24,19.0
chronic,26,0,146,58,171,32,32,20.0
chronic,26,0,146,60,197,36,36,20.0
chronic,26,0,146,63,271,52,52,27.0
