p,m,seed,slope,k,gamma,sV
0.6,12,145,2.078,51,5.0,2.07
0.6,12,146,0.029,31,9.0,4.2
0.6,12,147,0.237,5,22.0,13.53
0.6,12,148,0.046,23,11.6,5.13
0.6,12,149,0.027,51,6.0,2.17
0.6,12,150,0.02,16,12.67,5.9
0.6,12,151,0.048,29,11.73,4.07
0.6,12,152,0.119,37,9.0,3.63
0.6,12,153,0.807,51,4.27,0.9
0.6,12,154,0.155,51,5.0,1.4
0.6,12,155,0.695,51,5.0,1.63
0.6,12,156,0.115,43,7.2,3.37
0.6,12,157,-0.249,8,19.93,13.43
0.6,12,158,-0.028,36,8.77,4.37
0.6,12,159,0.344,1,31.43,20.1
0.6,12,160,3.287,51,3.0,0.27
0.6,16,141,4.64,51,4.0,0.63
0.6,16,142,0.073,45,9.23,3.07
0.6,16,143,0.281,51,7.0,2.33
0.6,16,144,1.547,51,5.0,0.57
0.6,16,145,2.975,51,5.0,0.87
0.6,16,146,-0.326,49,8.4,2.83
0.6,16,147,0.249,10,21.67,10.9
0.6,16,148,-0.02,35,12.0,4.6
0.6,16,149,-0.756,51,7.0,1.93
0.6,16,150,3.558,51,4.0,0.37
0.6,16,151,-0.796,51,6.7,1.4
0.6,16,152,4.36,51,4.17,0.63
0.6,16,153,3.379,51,4.0,0.43
0.6,16,154,0.084,51,6.0,1.5
0.6,16,155,2.137,51,5.0,0.87
0.6,16,156,2.001,51,5.3,1.3
0.6,16,157,0.028,8,25.3,15.4
0.6,16,158,0.0,51,8.0,2.0
0.6,16,159,0.138,5,28.57,16.2
0.6,16,160,6.81,51,3.0,0.03
0.6,20,141,8.562,51,4.0,0.43
0.6,20,142,2.179,51,6.3,0.8
0.6,20,143,-2.264,51,8.0,1.87
0.6,20,144,7.023,51,4.4,0.2
0.6,20,145,6.423,51,5.0,0.73
0.6,20,146,-0.438,50,9.7,3.67
0.6,20,147,0.169,14,24.7,12.1
0.6,20,148,0.084,48,10.37,3.13
0.6,20,149,3.568,51,6.3,1.1
0.6,20,150,0.027,33,13.37,3.33
0.6,20,151,-0.432,47,9.7,2.07
0.6,20,152,8.503,51,4.0,0.33
0.6,20,153,5.521,51,4.53,0.17
0.6,20,154,8.583,51,4.0,0.57
0.6,20,155,4.588,51,5.0,0.77
0.6,20,156,1.038,51,6.6,0.63
0.6,20,157,-0.139,19,22.2,12.83
0.6,20,158,-0.088,51,7.0,1.23
0.6,20,159,0.624,14,26.07,13.27
0.6,20,160,10.597,51,3.0,0.17
0.6,26,141,14.417,51,4.0,0.4
0.6,26,142,8.259,51,5.63,0.3
0.6,26,143,2.36,51,8.17,0.9
0.6,26,144,10.265,51,5.0,0.13
0.6,26,145,11.423,51,5.0,0.43
0.6,26,146,-3.901,51,10.27,1.6
0.6,26,147,0.041,27,22.07,8.23
0.6,26,148,-3.1,51,11.33,2.23
0.6,26,149,5.156,51,7.0,0.87
0.6,26,150,13.017,51,4.0,0.03
0.6,26,151,5.918,51,6.0,0.23
0.6,26,152,10.117,51,5.33,0.43
0.6,26,153,9.943,51,5.0,0.17
0.6,26,154,13.614,51,4.0,0.17
0.6,26,155,10.567,51,5.0,0.33
0.6,26,156,11.04,51,5.1,0.57
0.6,26,157,0.088,30,20.3,11.2
0.6,26,158,1.264,51,8.43,0.9
0.6,26,159,0.02,12,34.77,15.67
0.6,26,160,15.998,51,3.0,0.1
0.6,32,141,19.68,51,4.0,0.33
0.6,32,142,16.453,51,5.0,0.17
0.6,32,143,8.165,51,7.6,0.4
0.6,32,144,17.398,51,4.7,0.07
0.6,32,145,17.227,51,5.0,0.37
0.6,32,146,4.922,51,9.0,0.9
0.6,32,147,-0.072,36,18.53,5.4
0.6,32,148,9.226,51,7.0,0.3
0.6,32,149,13.453,51,6.0,0.23
0.6,32,150,19.075,51,4.17,0.1
0.6,32,151,8.774,51,7.4,0.37
0.6,32,152,10.408,51,7.13,0.33
0.6,32,153,16.453,51,5.0,0.17
0.6,32,154,17.238,51,5.0,0.27
0.6,32,155,16.034,51,5.0,0.13
0.6,32,156,9.315,51,6.97,0.33
0.6,32,157,0.057,30,23.57,9.67
0.6,32,158,4.566,51,9.0,0.63
0.6,32,159,0.153,28,24.37,9.97
0.6,32,160,22.419,51,3.0,0.03
0.6,40,141,27.388,51,4.0,0.2
0.6,40,142,20.062,51,7.0,0.33
0.6,40,143,17.758,51,7.0,0.2
0.6,40,144,24.412,51,5.0,0.1
0.6,40,145,25.191,51,5.0,0.37
0.6,40,146,8.629,51,10.0,0.5
0.6,40,147,0.442,45,21.93,5.27
0.6,40,148,11.166,51,9.0,0.33
0.6,40,149,20.552,51,6.0,0.17
0.6,40,150,18.56,51,7.5,0.27
0.6,40,151,11.174,51,9.0,0.13
0.6,40,152,23.704,51,4.77,0.13
0.6,40,153,23.849,51,5.0,0.13
0.6,40,154,21.741,51,5.7,0.17
0.6,40,155,24.195,51,5.0,0.17
0.6,40,156,17.172,51,7.0,0.1
0.6,40,157,0.549,43,24.8,7.1
0.6,40,158,17.819,51,7.0,0.17
0.6,40,159,0.0,46,19.4,5.97
0.6,40,160,29.274,51,3.0,0.03
